Time	ResultSignal
0.12807	-1.32475
0.12808	-1.26644
0.12809	-1.20765
0.1281	-1.14843
0.12811	-1.08887
0.12812	-1.02903
0.12813	-0.968973
0.12814	-0.908776
0.12815	-0.848503
0.12816	-0.788222
0.12817	-0.728001
0.12818	-0.667903
0.12819	-0.607994
0.1282	-0.548338
0.12821	-0.488998
0.12822	-0.430034
0.12823	-0.371507
0.12824	-0.313476
0.12825	-0.255998
0.12826	-0.199129
0.12827	-0.142923
0.12828	-0.0874324
0.12829	-0.0327081
0.1283	0.0212009
0.12831	0.0742477
0.12832	0.126387
0.12833	0.177576
0.12834	0.227773
0.12835	0.276939
0.12836	0.325038
0.12837	0.372035
0.12838	0.417897
0.12839	0.462595
0.1284	0.5061
0.12841	0.548387
0.12842	0.589432
0.12843	0.629215
0.12844	0.667718
0.12845	0.704924
0.12846	0.740819
0.12847	0.775393
0.12848	0.808636
0.12849	0.840542
0.1285	0.871107
0.12851	0.90033
0.12852	0.92821
0.12853	0.954752
0.12854	0.979961
0.12855	1.00384
0.12856	1.02641
0.12857	1.04768
0.12858	1.06765
0.12859	1.08636
0.1286	1.10381
0.12861	1.12003
0.12862	1.13504
0.12863	1.14887
0.12864	1.16154
0.12865	1.17308
0.12866	1.18353
0.12867	1.19291
0.12868	1.20127
0.12869	1.20863
0.1287	1.21504
0.12871	1.22053
0.12872	1.22514
0.12873	1.22892
0.12874	1.23191
0.12875	1.23415
0.12876	1.2357
0.12877	1.23659
0.12878	1.23688
0.12879	1.2366
0.1288	1.23583
0.12881	1.23459
0.12882	1.23295
0.12883	1.23096
0.12884	1.22866
0.12885	1.22611
0.12886	1.22336
0.12887	1.22047
0.12888	1.21749
0.12889	1.21446
0.1289	1.21145
0.12891	1.2085
0.12892	1.20568
0.12893	1.20302
0.12894	1.20058
0.12895	1.19841
0.12896	1.19656
0.12897	1.19509
0.12898	1.19403
0.12899	1.19344
0.129	1.19337
0.12901	1.19385
0.12902	1.19493
0.12903	1.19666
0.12904	1.19908
0.12905	1.20223
0.12906	1.20614
0.12907	1.21086
0.12908	1.21641
0.12909	1.22284
0.1291	1.23017
0.12911	1.23843
0.12912	1.24765
0.12913	1.25787
0.12914	1.26909
0.12915	1.28135
0.12916	1.29466
0.12917	1.30905
0.12918	1.32452
0.12919	1.34108
0.1292	1.35876
0.12921	1.37755
0.12922	1.39747
0.12923	1.41852
0.12924	1.44069
0.12925	1.46399
0.12926	1.48841
0.12927	1.51395
0.12928	1.54059
0.12929	1.56833
0.1293	1.59715
0.12931	1.62703
0.12932	1.65796
0.12933	1.68992
0.12934	1.72287
0.12935	1.7568
0.12936	1.79168
0.12937	1.82747
0.12938	1.86414
0.12939	1.90166
0.1294	1.93999
0.12941	1.97908
0.12942	2.01891
0.12943	2.05941
0.12944	2.10056
0.12945	2.14229
0.12946	2.18456
0.12947	2.22732
0.12948	2.27051
0.12949	2.31409
0.1295	2.35799
0.12951	2.40215
0.12952	2.44653
0.12953	2.49105
0.12954	2.53565
0.12955	2.58028
0.12956	2.62487
0.12957	2.66936
0.12958	2.71367
0.12959	2.75776
0.1296	2.80154
0.12961	2.84496
0.12962	2.88795
0.12963	2.93043
0.12964	2.97236
0.12965	3.01365
0.12966	3.05424
0.12967	3.09407
0.12968	3.13307
0.12969	3.17118
0.1297	3.20833
0.12971	3.24445
0.12972	3.2795
0.12973	3.3134
0.12974	3.3461
0.12975	3.37754
0.12976	3.40765
0.12977	3.4364
0.12978	3.46371
0.12979	3.48954
0.1298	3.51384
0.12981	3.53656
0.12982	3.55765
0.12983	3.57707
0.12984	3.59478
0.12985	3.61074
0.12986	3.6249
0.12987	3.63725
0.12988	3.64774
0.12989	3.65634
0.1299	3.66303
0.12991	3.66778
0.12992	3.67057
0.12993	3.67139
0.12994	3.67021
0.12995	3.66703
0.12996	3.66184
0.12997	3.65462
0.12998	3.64538
0.12999	3.63412
0.13	3.62083
0.13001	3.60553
0.13002	3.58821
0.13003	3.5689
0.13004	3.54761
0.13005	3.52435
0.13006	3.49915
0.13007	3.47203
0.13008	3.44301
0.13009	3.41213
0.1301	3.37941
0.13011	3.3449
0.13012	3.30862
0.13013	3.27063
0.13014	3.23095
0.13015	3.18965
0.13016	3.14676
0.13017	3.10233
0.13018	3.05642
0.13019	3.00908
0.1302	2.96037
0.13021	2.91034
0.13022	2.85905
0.13023	2.80658
0.13024	2.75297
0.13025	2.6983
0.13026	2.64262
0.13027	2.58602
0.13028	2.52855
0.13029	2.47028
0.1303	2.41129
0.13031	2.35164
0.13032	2.29141
0.13033	2.23067
0.13034	2.16949
0.13035	2.10794
0.13036	2.04609
0.13037	1.98402
0.13038	1.9218
0.13039	1.8595
0.1304	1.79718
0.13041	1.73493
0.13042	1.67281
0.13043	1.61088
0.13044	1.54922
0.13045	1.48789
0.13046	1.42695
0.13047	1.36648
0.13048	1.30653
0.13049	1.24716
0.1305	1.18844
0.13051	1.13041
0.13052	1.07313
0.13053	1.01667
0.13054	0.961056
0.13055	0.906354
0.13056	0.852605
0.13057	0.799853
0.13058	0.748142
0.13059	0.697509
0.1306	0.647993
0.13061	0.599628
0.13062	0.552446
0.13063	0.506476
0.13064	0.461745
0.13065	0.418277
0.13066	0.376093
0.13067	0.335212
0.13068	0.295651
0.13069	0.257422
0.1307	0.220536
0.13071	0.185002
0.13072	0.150824
0.13073	0.118005
0.13074	0.0865463
0.13075	0.0564446
